pgc,Name,RA,DE,GLong,GLat,SGL,SGB,Ty,B_t,K_t,lgL_K,Vhel,Vls,D_i,eDi,PGC1,PGC1+,Ng,gGLong,gGLat,gSGL,gSGB,gK_t,glgL_K,gVh,gVls,gND,gD,geD,gsigL,gsigV,gR2t,gRdyn,gMassL,gMassdyn,SGX,SGY,SGZ
35,UGC12894,0.0938,39.4955,112.3102,-22.3207,333.3464,20.3429,9.9,15.89,14.00,7.54,335,618,0.00,0,35,591,1,112.3102,-22.3207,333.3464,20.3429,14.00,7.54,335,618,0,0.00,0,21,0,0.057,,10.276,,6.90,-3.47,2.86
38,UGC12893,0.1188,17.2203,105.9151,-43.9611,310.0185,17.2726,8.4,15.14,13.44,8.44,1108,1338,0.00,0,38,38,1,105.9151,-43.9611,310.0185,17.2726,13.44,8.44,1108,1338,0,0.00,0,30,0,0.081,,10.724,,10.95,-13.05,5.30
43,ESO293-027,0.1229,-40.4844,337.9255,-72.9984,254.1104,-0.1850,4.0,13.25,11.91,9.79,3181,3147,0.00,0,43,43,1,337.9255,-72.9984,254.1104,-0.1850,11.91,9.79,3181,3147,0,0.00,0,53,0,0.145,,11.484,,-11.49,-40.36,-0.14
143,WLM,0.4926,-15.4609,75.8635,-73.6245,277.8077,8.0860,9.9,10.01,9.00,7.71,-122,-29,0.96,5,143,2557,1,75.8635,-73.6245,277.8077,8.0860,9.00,7.71,-122,-29,1,0.96,5,23,0,0.061,,10.362,,0.13,-0.94,0.14
156,IC5377,0.5224,16.5903,106.1972,-44.6719,309.4554,16.7666,9.9,14.96,12.70,8.63,1050,1278,0.00,0,218,218,6,106.4391,-45.1797,309.0668,16.3813,7.12,10.86,964,1188,3,9.84,8,116,92,0.315,0.245,12.498,12.272,6.06,-7.36,2.87
171,UGC12921,0.5877,77.2569,120.1543,14.6507,13.3827,18.2069,4.6,13.60,10.15,10.36,2419,2695,0.00,0,171,171,1,120.1543,14.6507,13.3827,18.2069,10.15,10.36,2419,2695,0,0.00,0,76,0,0.207,,11.950,,33.21,7.90,11.23
181,ESO012-014,0.6766,-80.3482,305.4559,-36.5399,216.1117,-13.3206,9.0,13.72,12.82,8.92,1956,1741,12.13,25,181,181,1,305.4559,-36.5399,216.1117,-13.3206,12.82,8.92,1956,1741,1,12.13,25,36,0,0.097,,10.963,,-9.54,-6.96,-2.79
187,ESO149-013,0.6945,-52.7716,319.1268,-62.7997,242.7092,-4.8174,9.9,14.69,13.39,8.46,1443,1346,0.00,0,187,187,1,319.1268,-62.7997,242.7092,-4.8174,13.39,8.46,1443,1346,0,0.00,0,30,0,0.082,,10.737,,-8.20,-15.89,-1.51
218,NGC7814,0.8121,16.1456,106.4089,-45.1746,309.0614,16.4026,2.0,10.96,7.18,10.84,1059,1284,14.45,10,218,218,6,106.4391,-45.1797,309.0668,16.3813,7.12,10.86,964,1188,3,9.84,8,116,92,0.315,0.245,12.498,12.272,8.73,-10.76,4.08
255,UGC00017,0.9302,15.2182,106.2149,-46.0989,308.1422,16.0958,9.1,14.60,12.55,8.69,879,1101,19.41,14,218,218,6,106.4391,-45.1797,309.0668,16.3813,7.12,10.86,964,1188,3,9.84,8,116,92,0.315,0.245,12.498,12.272,11.52,-14.67,5.38
268,PGC000268,0.9672,30.2786,110.8875,-31.4781,323.6939,18.6937,,16.03,12.31,9.65,2936,3201,0.00,0,268,268,1,110.8875,-31.4781,323.6939,18.6937,12.31,9.65,2936,3201,0,0.00,0,50,0,0.134,,11.384,,32.58,-23.94,13.68
279,NGC7817,0.9952,20.7523,108.2283,-40.7605,313.8141,17.1420,4.1,11.56,8.40,10.99,2309,2548,29.38,14,279,279,2,108.2286,-40.7607,313.8141,17.1417,8.40,10.99,2242,2481,1,29.38,14,130,71,0.353,0.067,12.646,11.487,19.43,-20.26,8.66
285,PGC000285,1.0263,-57.3926,315.1758,-58.5962,238.3932,-6.5335,,16.45,12.41,9.09,1889,1770,0.00,0,285,285,1,315.1758,-58.5962,238.3932,-6.5335,12.41,9.09,1889,1770,0,0.00,0,38,0,0.104,,11.053,,-12.29,-19.97,-2.69
305,UGC00027,1.1200,5.8472,102.2018,-55.1233,298.7605,13.7120,5.8,14.71,12.25,9.70,3114,3301,44.46,18,305,307,1,102.2018,-55.1233,298.7605,13.7120,12.25,9.70,3114,3301,1,44.46,18,51,0,0.138,,11.418,,20.78,-37.87,10.54
307,NGC7820,1.1283,5.2002,101.8517,-55.7391,298.1192,13.5381,-0.1,13.46,9.64,10.72,3053,3237,0.00,0,307,307,1,101.8517,-55.7391,298.1192,13.5381,9.64,10.72,3053,3237,0,0.00,0,103,0,0.279,,12.338,,19.77,-37.01,10.10
332,UGC00031,1.2172,17.1921,107.3154,-44.2630,310.2119,16.2394,9.9,15.06,12.34,8.78,1034,1262,0.00,0,218,218,6,106.4391,-45.1797,309.0668,16.3813,7.12,10.86,964,1188,3,9.84,8,116,92,0.315,0.245,12.498,12.272,6.16,-7.29,2.78
365,UGC00035,1.2885,6.2596,102.7037,-54.7842,299.2148,13.6548,8.8,,14.32,8.87,3108,3296,0.00,0,365,307,1,102.7037,-54.7842,299.2148,13.6548,14.32,8.87,3108,3296,0,0.00,0,35,0,0.095,,10.940,,20.84,-37.27,10.37
388,ESO409-015,1.3830,-28.0983,24.8340,-79.7884,266.0981,3.1192,5.4,14.43,14.44,7.54,726,753,8.71,9,388,388,1,24.8340,-79.7884,266.0981,3.1192,14.44,7.54,726,753,1,8.71,9,21,0,0.057,,10.274,,-0.59,-8.68,0.47
414,ESO538-021,1.4418,-22.0774,56.4089,-78.4629,271.8077,5.0751,6.1,15.54,13.80,9.04,3148,3206,0.00,0,134641,134641,2,55.9456,-78.2972,271.7405,5.2531,12.61,9.52,3114,3172,0,0.00,0,46,35,0.126,0.211,11.301,11.365,1.33,-42.15,3.75
446,PGC000446,1.5108,27.3489,110.6960,-34.4420,320.7132,17.8009,4.8,16.78,14.30,8.91,3181,3438,0.00,0,446,660,1,110.6960,-34.4420,320.7132,17.8009,14.30,8.91,3181,3438,0,0.00,0,36,0,0.097,,10.962,,33.78,-27.64,14.01
474,ESO293-034,1.5828,-41.5000,332.8212,-72.9086,253.5378,-1.5699,6.2,12.66,9.54,10.06,1512,1470,0.00,0,474,474,4,332.8080,-72.9072,253.5355,-1.5732,9.47,10.09,1482,1440,0,0.00,0,64,56,0.172,0.079,11.709,11.348,-5.45,-18.44,-0.53
482,PGC000482,1.6058,-41.5066,332.7606,-72.9134,253.5374,-1.5883,2.1,14.70,12.68,8.81,1428,1386,0.00,0,474,474,4,332.8080,-72.9072,253.5355,-1.5732,9.47,10.09,1482,1440,0,0.00,0,64,56,0.172,0.079,11.709,11.348,-5.42,-18.34,-0.53
496,UGC00047,1.6591,17.2841,107.9183,-44.2777,310.3959,15.8453,8.3,,14.36,7.90,873,1100,0.00,0,496,889,1,107.9183,-44.2777,310.3959,15.8453,14.36,7.90,873,1100,0,0.00,0,24,0,0.066,,10.455,,9.14,-10.75,4.00
522,ESO293-035,1.7149,-41.8398,331.8781,-72.6908,253.2510,-1.7772,10.0,16.13,14.48,8.09,1552,1509,0.00,0,474,474,4,332.8080,-72.9072,253.5355,-1.5732,9.47,10.09,1482,1440,0,0.00,0,64,56,0.172,0.079,11.709,11.348,-5.56,-18.46,-0.60
544,PGC000544,1.7199,-41.4249,332.6895,-73.0298,253.6432,-1.6414,8.0,17.83,15.35,7.74,1435,1394,0.00,0,474,474,4,332.8080,-72.9072,253.5355,-1.5732,9.47,10.09,1482,1440,0,0.00,0,64,56,0.172,0.079,11.709,11.348,-5.39,-18.36,-0.55
562,ESO149-018,1.8102,-52.6199,317.8900,-63.2058,243.0777,-5.4050,9.0,15.59,13.61,8.59,1825,1728,0.00,0,562,562,1,317.8900,-63.2058,243.0777,-5.4050,13.61,8.59,1825,1728,0,0.00,0,32,0,0.086,,10.801,,-10.39,-20.45,-2.17
591,UGC00064,1.9337,40.8759,114.0867,-21.2440,334.9193,19.0438,9.0,15.14,12.80,7.98,305,588,0.00,0,591,591,1,114.0867,-21.2440,334.9193,19.0438,12.80,7.98,305,588,0,0.00,0,25,0,0.068,,10.496,,6.71,-3.14,2.56
598,UGC00063,1.9617,35.9661,113.1235,-26.0740,329.7582,18.5567,9.9,15.35,12.72,8.18,439,714,0.00,0,598,598,1,113.1235,-26.0740,329.7582,18.5567,12.72,8.18,439,714,0,0.00,0,27,0,0.073,,10.595,,7.80,-4.55,3.03
621,ESO349-031,2.0564,-34.5787,351.4759,-78.1170,260.1830,0.4032,10.0,15.58,13.00,7.02,221,214,3.21,9,621,2789,1,351.4759,-78.1170,260.1830,0.4032,13.00,7.02,221,214,1,3.21,9,17,0,0.047,,10.017,,-0.55,-3.16,0.02
627,NGC0007,2.0869,-29.9153,13.9928,-80.1378,264.5900,1.9316,4.8,13.19,12.82,8.81,1518,1535,19.14,14,627,1851,1,13.9928,-80.1378,264.5900,1.9316,12.82,8.81,1518,1535,1,19.14,14,34,0,0.093,,10.908,,-1.81,-19.04,0.65
647,NGC0014,2.1928,15.8164,108.1252,-45.8251,309.0195,15.0357,9.9,12.35,10.87,9.36,865,1086,5.73,18,218,218,6,106.4391,-45.1797,309.0668,16.3813,7.12,10.86,964,1188,3,9.84,8,116,92,0.315,0.245,12.498,12.272,5.90,-7.28,2.52
660,NGC0016,2.2679,27.7294,111.5861,-34.2072,321.2170,17.1971,-2.7,12.74,8.84,11.08,3100,3356,0.00,0,660,660,1,111.5861,-34.2072,321.2170,17.1971,8.84,11.08,3100,3356,0,0.00,0,141,0,0.381,,12.746,,33.32,-26.78,13.23
695,IC1532,2.4696,-64.3716,310.2378,-52.1630,231.9111,-9.3600,4.0,13.85,11.86,9.27,1830,1678,34.83,18,695,1952,1,310.2378,-52.1630,231.9111,-9.3600,11.86,9.27,1830,1678,1,34.83,18,41,0,0.112,,11.149,,-21.20,-27.05,-5.66
697,PGC000697,2.4711,15.7348,108.4718,-45.9670,308.9968,14.7567,4.8,15.73,14.42,7.94,897,1117,0.00,0,218,218,6,106.4391,-45.1797,309.0668,16.3813,7.12,10.86,964,1188,3,9.84,8,116,92,0.315,0.245,12.498,12.272,5.93,-7.32,2.48
701,NGC0024,2.4848,-24.9638,43.6860,-80.4343,269.3872,3.2262,5.1,11.30,9.21,9.41,545,586,7.87,8,701,701,1,43.6860,-80.4343,269.3872,3.2262,9.21,9.41,545,586,1,7.87,8,44,0,0.120,,11.236,,-0.08,-7.86,0.44
703,UGC00090,2.5074,16.9403,108.9117,-44.8012,310.2230,14.9807,9.7,,15.42,7.50,908,1133,0.00,0,703,889,1,108.9117,-44.8012,310.2230,14.9807,15.42,7.50,908,1133,0,0.00,0,21,0,0.056,,10.255,,9.42,-11.14,3.90
721,ESO538-024,2.5746,-18.2650,73.8803,-77.0278,275.7753,5.3007,9.9,14.99,13.20,8.70,1546,1620,0.00,0,721,721,1,73.8803,-77.0278,275.7753,5.3007,13.20,8.70,1546,1620,0,0.00,0,33,0,0.089,,10.856,,2.16,-21.40,2.00
757,UGC00099,2.6698,13.7094,108.0540,-47.9814,307.0013,14.1208,8.8,14.36,11.96,9.36,1742,1955,0.00,0,757,757,1,108.0540,-47.9814,307.0013,14.1208,11.96,9.36,1742,1955,0,0.00,0,43,0,0.117,,11.204,,15.21,-20.19,6.36
800,ESO293-045,2.8535,-41.3983,330.3084,-73.5344,253.9489,-2.4352,7.8,14.21,12.55,8.85,1462,1419,0.00,0,800,474,1,330.3084,-73.5344,253.9489,-2.4352,12.55,8.85,1462,1419,0,0.00,0,35,0,0.094,,10.928,,-5.23,-18.17,-0.80
809,ESO349-039,2.9032,-36.9363,341.0966,-77.0768,258.1837,-1.0229,7.0,14.76,12.84,9.01,1985,1964,0.00,0,809,809,1,341.0966,-77.0768,258.1837,-1.0229,12.84,9.01,1985,1964,0,0.00,0,37,0,0.101,,11.013,,-5.36,-25.63,-0.47
824,PGC000824,2.9575,-27.3671,29.1101,-81.1959,267.2495,2.0449,,17.68,14.90,8.56,2995,3023,0.00,0,824,198756,1,29.1101,-81.1959,267.2495,2.0449,14.90,8.56,2995,3023,0,0.00,0,31,0,0.085,,10.787,,-1.94,-40.23,1.44
878,UGC00119,3.2630,14.4094,109.1231,-47.4305,307.8376,13.7181,1.6,14.13,11.68,9.59,2023,2237,0.00,0,878,878,2,109.1230,-47.4304,307.8375,13.7182,11.64,9.61,2020,2235,0,0.00,0,48,3,0.131,0.001,11.356,6.666,17.76,-22.87,7.07
889,UGC00122,3.3236,17.0293,110.0136,-44.8835,310.4846,14.2370,9.6,13.41,12.68,8.55,854,1077,0.00,0,889,889,1,110.0136,-44.8835,310.4846,14.2370,12.68,8.55,854,1077,0,0.00,0,31,0,0.084,,10.782,,9.04,-10.59,3.53
924,UGC00132,3.5031,12.9639,108.9883,-48.8920,306.4453,13.1609,7.9,14.11,12.85,8.98,1680,1889,20.32,25,924,924,2,108.9712,-48.9191,306.4152,13.1590,12.67,9.05,1687,1896,1,20.32,25,38,7,0.102,0.056,11.029,9.442,11.75,-15.91,4.62
929,NGC0048,3.5093,48.2349,116.5236,-14.1709,342.7524,18.4205,4.1,13.66,10.51,9.99,1776,2064,0.00,0,929,929,1,116.5236,-14.1709,342.7524,18.4205,10.51,9.99,1776,2064,0,0.00,0,60,0,0.161,,11.626,,24.94,-7.74,8.70
930,NGC0045,3.5164,-23.1821,55.9027,-80.6717,271.3799,2.9060,7.7,11.04,10.07,8.96,470,518,6.64,9,930,930,1,55.9027,-80.6717,271.3799,2.9060,10.07,8.96,470,518,1,6.64,9,36,0,0.099,,10.987,,0.16,-6.63,0.34
934,UGC00134,3.5135,12.8966,108.9808,-48.9598,306.3805,13.1355,8.0,16.64,12.95,8.36,764,973,0.00,0,934,934,1,108.9808,-48.9598,306.3805,13.1355,12.95,8.36,764,973,0,0.00,0,29,0,0.078,,10.684,,7.49,-10.17,2.95
965,UGC00115,2.6953,88.3348,122.6064,25.4889,24.7501,16.0217,8.3,15.28,13.39,8.90,1983,2233,0.00,0,965,965,1,122.6064,25.4889,24.7501,16.0217,13.39,8.90,1983,2233,0,0.00,0,36,0,0.097,,10.957,,25.99,11.98,8.22
1001,ESO241-027,3.7617,-43.2924,325.0930,-72.2355,252.3645,-3.6740,6.0,15.35,12.44,9.60,3273,3219,0.00,0,1001,1001,1,325.0930,-72.2355,252.3645,-3.6740,12.44,9.60,3273,3219,0,0.00,0,48,0,0.131,,11.352,,-12.98,-40.82,-2.75
1014,NGC0055,3.7233,-39.1966,332.8820,-75.7309,256.2492,-2.3594,8.8,6.54,6.56,9.29,129,95,1.99,6,1014,2789,2,332.8690,-75.7300,256.2474,-2.3622,5.07,9.29,118,75,2,1.99,4,42,21,0.113,0.120,11.161,10.695,-0.47,-1.93,-0.08
1034,NGC0059,3.8547,-21.4445,65.7098,-80.0220,273.1300,3.1559,-2.9,13.03,10.63,8.58,376,432,4.90,9,1034,2789,1,65.7098,-80.0220,273.1300,3.1559,10.63,8.58,376,432,1,4.90,9,32,0,0.085,,10.795,,0.27,-4.89,0.27
1038,ESO410-005,3.8802,-32.1806,357.8449,-80.7097,262.9460,-0.2569,0.4,14.77,12.50,6.97,159,161,1.96,7,1038,2789,1,357.8449,-80.7097,262.9460,-0.2569,12.50,6.97,159,161,1,1.96,7,17,0,0.046,,9.992,,-0.24,-1.95,-0.01
1107,UGC00156,4.2012,12.3500,109.8072,-49.6371,305.9965,12.3552,9.8,13.79,12.17,8.95,1135,1340,0.00,0,1107,1160,1,109.8072,-49.6371,305.9965,12.3552,12.17,8.95,1135,1340,0,0.00,0,36,0,0.098,,10.979,,10.26,-14.12,3.82
1124,UGC00159,4.3171,17.5225,111.4597,-44.5867,311.1911,13.4168,9.8,16.77,14.42,7.97,1004,1226,0.00,0,1124,1124,1,111.4597,-44.5867,311.1911,13.4168,14.42,7.97,1004,1226,0,0.00,0,25,0,0.068,,10.490,,10.47,-11.97,3.79
1130,ESO539-005,4.2926,-19.3014,75.9915,-78.9059,275.2982,3.4316,5.3,13.00,10.16,10.53,3233,3299,43.65,18,1130,1130,1,75.9915,-78.9059,275.2982,3.4316,10.16,10.53,3233,3299,1,43.65,18,87,0,0.236,,12.124,,4.02,-43.39,2.61
1160,NGC0063,4.4397,11.4503,109.8742,-50.5656,305.1594,11.9147,-3.4,12.21,9.29,10.11,1160,1361,18.62,11,1160,1160,2,109.9890,-50.6767,305.0892,11.8009,9.09,10.19,1152,1351,2,18.58,10,68,10,0.183,0.262,11.789,10.410,10.49,-14.90,3.84
1205,ESO194-002,4.6269,-47.6555,318.1804,-68.4859,248.3805,-5.5812,7.0,15.75,13.92,8.30,1494,1417,0.00,0,1205,1205,1,318.1804,-68.4859,248.3805,-5.5812,13.92,8.30,1494,1417,0,0.00,0,28,0,0.076,,10.653,,-6.93,-17.48,-1.84
1218,ESO539-007,4.7020,-19.0078,78.5104,-78.9498,275.6971,3.1536,8.7,14.56,12.72,9.50,3187,3253,0.00,0,1218,1130,1,78.5104,-78.9498,275.6971,3.1536,12.72,9.50,3187,3253,0,0.00,0,46,0,0.124,,11.288,,4.30,-43.09,2.39
1225,PGC001225,4.7888,-57.6416,311.3109,-58.9584,238.7668,-8.5352,0.1,15.23,12.12,9.15,1786,1661,0.00,0,1225,1225,1,311.3109,-58.9584,238.7668,-8.5352,12.12,9.15,1786,1661,0,0.00,0,39,0,0.107,,11.086,,-11.36,-18.73,-3.29
1242,PGC001242,4.7979,-22.6684,62.5621,-81.4385,272.2371,1.9450,9.8,15.22,12.77,8.16,669,717,0.00,0,1242,1242,1,62.5621,-81.4385,272.2371,1.9450,12.77,8.16,669,717,0,0.00,0,27,0,0.073,,10.588,,0.37,-9.55,0.32
1284,ESO028-014,4.9934,-77.0914,305.2158,-39.8969,219.5670,-13.3650,7.0,15.12,11.59,9.34,1810,1605,0.00,0,1284,1284,1,305.2158,-39.8969,219.5670,-13.3650,11.59,9.34,1810,1605,0,0.00,0,43,0,0.115,,11.190,,-16.05,-13.26,-4.95
1292,UGC00191,5.0213,10.8792,110.5801,-51.2390,304.7342,11.2232,8.6,13.36,11.04,9.41,1144,1341,18.37,25,1160,1160,2,109.9890,-50.6767,305.0892,11.8009,9.09,10.19,1152,1351,2,18.58,10,68,10,0.183,0.262,11.789,10.410,10.38,-14.97,3.61
1305,"IC 10",5.0963,59.2931,118.9699,-3.3395,354.4176,17.8657,9.9,,6.50,8.51,-346,-56,0.79,6,2557,2557,38,121.5054,-21.7886,336.0430,12.2064,1.25,10.81,-273,-14,38,0.75,3,111,114,0.302,0.234,12.441,12.447,0.75,-0.07,0.24
1335,ESO078-022,5.2374,-63.8571,308.4970,-52.9404,232.7462,-10.3835,4.2,13.24,11.18,9.50,1769,1616,0.00,0,1335,1335,2,308.6474,-52.8428,232.6420,-10.2983,10.90,9.61,1757,1604,0,0.00,0,49,13,0.132,0.218,11.360,10.502,-12.75,-16.76,-3.86
1336,UGC00199,5.2158,12.8560,111.4537,-49.3331,306.7382,11.5127,9.8,16.99,14.64,8.31,1803,2008,0.00,0,1336,1336,1,111.4537,-49.3331,306.7382,11.5127,14.64,8.31,1803,2008,0,0.00,0,28,0,0.077,,10.661,,15.69,-21.03,5.34
1357,NGC0087,5.3088,-48.6301,316.1707,-67.7143,247.5768,-6.3008,9.9,14.38,13.52,9.19,3463,3380,0.00,0,1388,1388,5,316.0171,-67.7338,247.5950,-6.3594,8.94,11.02,3362,3279,0,0.00,0,133,93,0.361,0.036,12.675,11.450,-16.63,-40.29,-4.81
1370,NGC0088,5.3416,-48.6402,316.1081,-67.7114,247.5733,-6.3244,0.0,14.75,12.60,9.55,3408,3325,0.00,0,1388,1388,5,316.0171,-67.7338,247.5950,-6.3594,8.94,11.02,3362,3279,0,0.00,0,133,93,0.361,0.036,12.675,11.450,-16.60,-40.22,-4.82
1374,NGC0089,5.3515,-48.6654,316.0714,-67.6894,247.5508,-6.3379,0.1,13.91,10.64,10.34,3320,3237,0.00,0,1388,1388,5,316.0171,-67.7338,247.5950,-6.3594,8.94,11.02,3362,3279,0,0.00,0,133,93,0.361,0.036,12.675,11.450,-16.57,-40.11,-4.82
1388,NGC0092,5.3822,-48.6249,316.0532,-67.7342,247.5958,-6.3457,1.0,13.52,9.43,10.82,3219,3136,0.00,0,1388,1388,5,316.0171,-67.7338,247.5950,-6.3594,8.94,11.02,3362,3279,0,0.00,0,133,93,0.361,0.036,12.675,11.450,-16.49,-40.00,-4.81
1440,ESO150-005,5.6095,-53.6479,312.3975,-62.9441,242.7757,-7.8871,7.8,13.57,11.32,9.28,1435,1328,0.00,0,1440,1440,1,312.3975,-62.9441,242.7757,-7.8871,11.32,9.28,1435,1328,0,0.00,0,42,0,0.113,,11.155,,-8.02,-15.60,-2.43
1452,ESO194-013,5.6586,-48.5811,315.6269,-67.8309,247.6903,-6.5085,5.7,13.66,11.41,10.03,3400,3317,0.00,0,1388,1388,5,316.0171,-67.7338,247.5950,-6.3594,8.94,11.02,3362,3279,0,0.00,0,133,93,0.361,0.036,12.675,11.450,-16.51,-40.23,-4.96
1457,PGC001457,5.6848,-6.6852,103.1944,-68.4502,287.7881,5.8940,4.4,14.74,12.73,8.89,1491,1614,0.00,0,1457,1457,1,103.1944,-68.4502,287.7881,5.8940,12.73,8.89,1491,1614,0,0.00,0,35,0,0.096,,10.948,,6.54,-20.38,2.21
1518,NGC0101,5.9776,-32.5363,349.0886,-81.9487,263.1531,-2.0520,5.9,13.22,10.77,10.31,3377,3373,0.00,0,1518,1518,1,349.0886,-81.9487,263.1531,-2.0520,10.77,10.31,3377,3373,0,0.00,0,74,0,0.199,,11.901,,-5.36,-44.62,-1.61
1525,NGC0100,6.0117,16.4864,113.4792,-45.8820,310.5250,11.6066,5.9,12.16,10.76,9.31,841,1056,18.54,14,1525,1525,1,113.4792,-45.8820,310.5250,11.6066,10.76,9.31,841,1056,1,18.54,14,42,0,0.114,,11.173,,11.80,-13.81,3.73
1574,PGC001574,6.2809,0.3127,108.8832,-61.8392,294.7195,7.2778,9.0,17.29,15.64,8.37,3234,3387,0.00,0,1574,1574,1,108.8832,-61.8392,294.7195,7.2778,15.64,8.37,3234,3387,0,0.00,0,29,0,0.079,,10.688,,18.73,-40.69,5.72
1641,ESO294-010,6.6390,-41.8556,320.4155,-74.4172,254.3721,-5.2700,-4.8,15.54,14.10,6.27,107,55,2.00,7,1014,2789,2,332.8690,-75.7300,256.2474,-2.3622,5.07,9.29,118,75,2,1.99,4,42,21,0.113,0.120,11.161,10.695,-0.54,-1.92,-0.18
1651,NGC0115,6.6933,-33.6770,340.4905,-81.5678,262.2390,-2.9613,3.9,12.90,11.73,9.30,1855,1844,28.84,14,1851,1851,12,338.3564,-82.4234,262.9148,-3.5652,6.79,11.27,1649,1638,3,19.41,9,167,156,0.453,0.330,12.970,12.866,-3.89,-28.54,-1.49
1652,PGC001652,6.7217,11.5732,113.3833,-50.8428,305.8325,9.7751,5.6,15.10,13.18,9.01,2073,2270,0.00,0,1665,1665,2,113.4427,-50.8386,305.8512,9.7421,10.38,10.13,2102,2299,1,28.58,14,65,30,0.177,0.020,11.744,10.236,16.46,-22.80,4.85
1665,UGC00260,6.7622,11.5838,113.4479,-50.8383,305.8528,9.7393,5.8,12.80,10.47,10.10,2131,2327,28.58,14,1665,1665,2,113.4427,-50.8386,305.8512,9.7421,10.38,10.13,2102,2299,1,28.58,14,65,30,0.177,0.020,11.744,10.236,16.50,-22.83,4.83
1680,PGC001680,6.8346,-47.3364,314.5118,-69.2463,249.1141,-6.9210,8.3,14.49,11.96,9.83,3442,3363,0.00,0,1680,1388,1,314.5118,-69.2463,249.1141,-6.9210,11.96,9.83,3442,3363,0,0.00,0,54,0,0.148,,11.509,,-15.87,-41.59,-5.40
1714,PGC001714,6.9648,3.4897,111.4993,-58.8577,297.9903,7.4738,3.0,16.02,13.85,8.40,1380,1544,26.18,18,1714,1714,1,111.4993,-58.8577,297.9903,7.4738,13.85,8.40,1380,1544,1,26.18,18,29,0,0.080,,10.705,,12.18,-22.92,3.41
1740,ESO410-012,7.0752,-27.9834,22.1336,-84.8017,267.7853,-1.6143,4.6,15.02,11.54,9.34,1557,1573,0.00,0,1740,1851,1,22.1336,-84.8017,267.7853,-1.6143,11.54,9.34,1557,1573,0,0.00,0,43,0,0.116,,11.190,,-0.81,-20.95,-0.59
1745,ESO194-020,7.0848,-49.0755,312.8933,-67.6035,247.4698,-7.5468,3.0,15.04,12.02,9.68,3000,2912,0.00,0,1745,1745,1,312.8933,-67.6035,247.4698,-7.5468,12.02,9.68,3000,2912,0,0.00,0,50,0,0.136,,11.407,,-14.75,-35.55,-5.10
1750,PGC001750,7.1109,5.0044,112.2618,-57.3902,299.5031,7.7332,3.0,15.02,13.26,8.62,1344,1514,0.00,0,1750,1750,1,112.2618,-57.3902,299.5031,7.7332,13.26,8.62,1344,1514,0,0.00,0,32,0,0.087,,10.814,,9.85,-17.41,2.72
1771,UGC00285,7.2130,28.9396,116.9934,-33.6715,323.2315,13.1193,1.0,14.58,11.75,9.63,2169,2418,0.00,0,1771,1771,1,116.9934,-33.6715,323.2315,13.1193,11.75,9.63,2169,2418,0,0.00,0,49,0,0.133,,11.371,,25.15,-18.80,7.32
1774,PGC001774,7.2085,32.1739,117.3835,-30.4541,326.5001,13.7129,,16.40,12.40,9.60,2893,3150,0.00,0,1774,1774,1,117.3835,-30.4541,326.5001,13.7129,12.40,9.60,2893,3150,0,0.00,0,48,0,0.131,,11.350,,34.02,-22.52,9.96
1777,UGC00288,7.2672,43.4308,118.6330,-19.2541,338.0042,15.3737,10.0,15.40,13.00,7.70,187,464,6.82,9,1777,1777,1,118.6330,-19.2541,338.0042,15.3737,13.00,7.70,187,464,1,6.82,9,22,0,0.061,,10.352,,6.10,-2.46,1.81
1781,UGC00290,7.2849,15.8990,115.1121,-46.6339,310.2305,10.2813,9.5,14.81,13.71,8.06,766,977,12.76,18,1781,1781,1,115.1121,-46.6339,310.2305,10.2813,13.71,8.06,766,977,1,12.76,18,26,0,0.070,,10.534,,8.11,-9.59,2.28
1813,NGC0131,7.4104,-33.2599,339.1207,-82.2714,262.8118,-3.4140,3.0,13.07,10.65,9.73,1455,1444,13.24,25,1851,1851,12,338.3564,-82.4234,262.9148,-3.5652,6.79,11.27,1649,1638,3,19.41,9,167,156,0.453,0.330,12.970,12.866,-2.39,-18.97,-1.14
1816,ESO194-021,7.4238,-51.5207,311.0300,-65.2643,245.1419,-8.3898,-3.0,13.49,9.11,10.93,3301,3201,47.21,23,1816,1816,1,311.0300,-65.2643,245.1419,-8.3898,9.11,10.93,3301,3201,1,47.21,23,123,0,0.334,,12.573,,-19.64,-42.38,-6.89
1835,UGC00300,7.5174,3.5129,112.5593,-58.9278,298.1606,6.9481,10.0,,15.06,7.89,1345,1508,0.00,0,1835,1750,1,112.5593,-58.9278,298.1606,6.9481,15.06,7.89,1345,1508,0,0.00,0,24,0,0.066,,10.452,,9.42,-17.60,2.43
1851,NGC0134,7.5911,-33.2440,338.3093,-82.3778,262.8700,-3.5542,4.0,10.09,6.91,11.23,1602,1591,19.23,14,1851,1851,12,338.3564,-82.4234,262.9148,-3.5652,6.79,11.27,1649,1638,3,19.41,9,167,156,0.453,0.330,12.970,12.866,-2.38,-19.04,-1.19
1855,ESO194-022,7.6002,-48.6850,312.2531,-68.0606,247.9395,-7.7719,2.0,14.04,11.50,10.00,3377,3290,0.00,0,1855,1388,1,312.2531,-68.0606,247.9395,-7.7719,11.50,10.00,3377,3290,0,0.00,0,60,0,0.162,,11.633,,-16.33,-40.28,-5.93
