pgc,Name,RA,DE,GLong,GLat,SGL,SGB,Ty,B_t,K_t,lgL_K,Vhel,Vls,D_i,eDi,PGC1,PGC1+,Ng,gGLong,gGLat,gSGL,gSGB,gK_t,glgL_K,gVh,gVls,gND,gD,geD,gsigL,gsigV,gR2t,gRdyn,gMassL,gMassdyn,SGX,SGY,SGZ
65330,PGC065330,311.4173,28.1772,71.2746,-9.1905,327.1694,61.5723,,14.52,11.27,9.34,1100,1389,0.00,0,65330,65330,1,71.2746,-9.1905,327.1694,61.5723,11.27,9.34,1100,1389,0,0.00,0,43,0,0.116,,11.190,,7.41,-4.78,16.29
65338,ESO285-051,311.5035,-45.8497,354.4273,-38.6338,227.1647,23.5246,9.0,15.05,13.28,9.11,2738,2698,0.00,0,65299,64192,2,354.2881,-38.4436,226.9257,23.5255,11.31,9.90,2724,2685,1,32.06,18,56,14,0.153,0.149,11.559,10.455,-20.00,-21.57,12.80
65339,ESO026-005,311.5056,-80.0809,313.1456,-31.5110,211.0844,-6.8894,9.0,14.67,11.40,9.83,2739,2531,0.00,0,65273,65273,3,313.2688,-31.4627,211.0419,-6.7818,8.29,11.08,2810,2602,0,0.00,0,140,12,0.381,0.073,12.744,10.017,-29.42,-17.73,-4.15
65367,Aquarius,311.7154,-12.8476,34.0494,-31.3427,252.0792,50.2448,9.9,13.50,11.30,6.79,-140,-3,1.01,7,65367,2557,1,34.0494,-31.3427,252.0792,50.2448,11.30,6.79,-140,-3,1,1.01,7,16,0,0.043,,9.901,,-0.20,-0.61,0.78
65381,UGC11636,311.8639,64.4793,100.1782,13.0366,11.6048,37.6009,6.0,14.06,11.71,9.79,2559,2866,0.00,0,65381,66063,1,100.1782,13.0366,11.6048,37.6009,11.71,9.79,2559,2866,0,0.00,0,53,0,0.145,,11.483,,29.66,6.09,23.32
65426,IC5026,312.1168,-78.0692,315.2681,-32.4153,212.1091,-5.1511,6.7,13.21,11.95,9.59,2749,2549,36.31,18,65426,65273,1,315.2681,-32.4153,212.1091,-5.1511,11.95,9.59,2749,2549,1,36.31,18,48,0,0.130,,11.348,,-30.63,-19.22,-3.26
65436,NGC6958,312.1775,-37.9973,4.5039,-38.6185,232.1248,30.0317,-3.7,12.05,8.48,11.03,2713,2717,0.00,0,65436,65436,2,4.5087,-38.6228,232.1313,30.0319,8.46,11.04,2698,2703,0,0.00,0,136,15,0.369,0.133,12.705,10.439,-19.17,-24.64,18.05
65448,ESO235-001,312.2579,-47.2987,352.5654,-39.1520,226.8809,22.0081,3.0,14.19,12.41,9.41,2604,2557,0.00,0,65448,64192,1,352.5654,-39.1520,226.8809,22.0081,12.41,9.41,2604,2557,0,0.00,0,44,0,0.119,,11.236,,-21.61,-23.07,12.78
65483,PGC065483,312.4914,-50.1320,348.9054,-39.2014,225.5302,19.4672,7.5,14.16,12.86,9.36,3035,2973,0.00,0,65483,65483,1,348.9054,-39.2014,225.5302,19.4672,12.86,9.36,3035,2973,0,0.00,0,43,0,0.117,,11.204,,-26.18,-26.67,13.21
65539,IC5059,312.8061,-57.6886,339.2320,-38.5246,221.8853,12.7670,2.1,14.61,12.72,9.47,3232,3130,0.00,0,65539,65539,1,339.2320,-38.5246,221.8853,12.7670,12.72,9.47,3232,3130,0,0.00,0,45,0,0.122,,11.267,,-30.30,-27.17,9.22
65600,IC5063,313.0097,-57.0688,339.9911,-38.7356,222.2901,13.2575,-1.2,12.64,8.83,11.07,3524,3425,0.00,0,65600,65600,4,339.9312,-38.7559,222.2938,13.2066,8.51,11.20,3408,3309,0,0.00,0,156,90,0.423,0.187,12.882,12.140,-31.88,-29.00,10.15
65603,IC5052,313.0212,-69.2014,325.1763,-35.8065,216.4573,2.5838,7.0,10.16,9.32,9.09,584,425,5.70,8,65603,65603,1,325.1763,-35.8065,216.4573,2.5838,9.32,9.09,584,425,1,5.70,8,38,0,0.104,,11.049,,-4.58,-3.38,0.26
65634,IC5064,313.1595,-57.2326,339.7668,-38.7886,222.2817,13.0749,1.1,13.79,10.22,10.51,3384,3285,0.00,0,65600,65600,4,339.9312,-38.7559,222.2938,13.2066,8.51,11.20,3408,3309,0,0.00,0,156,90,0.423,0.187,12.882,12.140,-31.77,-28.89,9.97
65640,ESO074-016,313.2009,-71.2763,322.7450,-35.1814,215.5308,0.7261,7.0,15.41,13.12,9.36,3507,3337,0.00,0,65640,65640,1,322.7450,-35.1814,215.5308,0.7261,13.12,9.36,3507,3337,0,0.00,0,43,0,0.117,,11.204,,-36.21,-25.85,0.56
65702,PGC065702,313.7196,65.1591,101.2253,12.8274,11.3017,36.5876,4.5,13.55,10.64,10.17,2398,2704,0.00,0,65702,66063,1,101.2253,12.8274,11.3017,36.5876,10.64,10.17,2398,2704,0,0.00,0,67,0,0.181,,11.774,,28.39,5.67,21.49
65738,PGC065738,314.0571,-49.8559,349.1751,-40.2242,226.5993,19.2000,4.7,14.81,11.38,9.70,2290,2230,0.00,0,65738,65738,1,349.1751,-40.2242,226.5993,19.2000,11.38,9.70,2290,2230,0,0.00,0,51,0,0.138,,11.422,,-19.29,-20.40,9.78
65762,ESO187-035,314.2329,-55.7199,341.5651,-39.6240,223.5811,14.0967,9.0,14.38,13.09,8.92,2079,1988,0.00,0,65762,65762,1,341.5651,-39.6240,223.5811,14.0967,13.09,8.92,2079,1988,0,0.00,0,36,0,0.097,,10.967,,-18.62,-17.72,6.46
65775,UGC11651,314.3142,25.9649,71.1343,-12.5857,321.3163,59.7465,8.0,13.54,9.78,10.17,1525,1811,21.09,18,65775,65775,1,71.1343,-12.5857,321.3163,59.7465,9.78,10.17,1525,1811,1,21.09,18,67,0,0.181,,11.772,,8.29,-6.64,18.22
65797,PGC065797,314.4753,25.0964,70.5345,-13.2443,319.5702,59.7991,3.5,14.13,10.62,10.37,3106,3390,0.00,0,65797,65797,1,70.5345,-13.2443,319.5702,59.7991,10.62,10.37,3106,3390,0,0.00,0,77,0,0.209,,11.960,,17.31,-14.75,39.06
65858,ESO401-026,314.9635,-37.2907,5.7275,-40.7349,234.6927,29.4053,8.0,15.38,13.65,8.94,2611,2620,0.00,0,65858,65436,1,5.7275,-40.7349,234.6927,29.4053,13.65,8.94,2611,2620,0,0.00,0,36,0,0.098,,10.975,,-17.59,-24.83,17.15
65870,IC5069,315.0415,-71.8123,321.8746,-35.5320,215.7790,-0.0256,3.4,13.76,12.54,9.39,2823,2651,0.00,0,65870,65870,1,321.8746,-35.5320,215.7790,-0.0256,12.54,9.39,2823,2651,0,0.00,0,44,0,0.118,,11.223,,-28.68,-20.66,-0.02
